time,V(n001),I(R2)
0.0,22.31796,0.0
3334380.0537512507,12.9924579167325,0.0
6668760.107502501,19.005552449043623,0.0
10003140.161253752,15.00567768507214,0.0
13337520.215005003,21.092326265823477,0.0
16671900.268756254,20.272518567827277,0.0
20006280.322507504,15.690401201320768,0.0
23340660.376258753,12.557945795923796,0.0
26675040.430010006,15.98632575751138,0.0
30009420.48376126,20.956585840868634,0.0
33343800.537512507,20.272468194781517,0.0
36678180.591263756,20.059991817019686,0.0
40012560.64501501,16.56208502945561,0.0
43346940.69876626,16.35767667352374,0.0
46681320.75251751,20.66224,0.0
50015700.80626876,20.272475956316843,0.0
53350080.86002001,20.833471513699816,0.0
56684460.913771264,14.673126630465422,0.0
60018840.96752252,15.837227199613686,0.0
63353221.02127376,20.475772340054114,0.0
66687601.075025015,20.280245748767797,0.0
70021981.12877627,21.333416169959502,0.0
73356361.18252751,15.921168791847123,0.0
76690741.23627877,21.474216172898952,0.0
80025121.29003002,11.05248,0.0
83359501.34378126,21.171386015594866,0.0
86693881.39753252,21.376628394436814,0.0
90028261.45128377,20.28296204603384,0.0
93362641.50503501,21.010132952664833,0.0
96697021.55878627,20.662250029230965,0.0
100031401.61253752,20.508905247251818,0.0
103365781.66628878,19.088031718876927,0.0
106700161.72004002,20.272473133227944,0.0
110034541.77379127,20.2724959999011,0.0
113368921.82754253,20.662241297841014,0.0
116703301.88129377,21.829372020453878,0.0
120037681.93504503,19.363163699911315,0.0
123372061.98879628,20.272477104573206,0.0
126706442.04254752,18.800625630136604,0.0
130040822.09629878,20.28224203645527,0.0
133375202.15005003,20.272517753070648,0.0
136709582.20380127,20.66227,0.0
140043962.25755253,20.40398714061196,0.0
143378342.3113038,20.272495845471376,0.0
146712722.36505502,21.771559693913087,0.0
150047102.41880628,21.202727488186223,0.0
153381482.47255754,21.672662004085886,0.0
156715862.52630877,20.252598894399316,0.0
160050242.58006003,20.2725,0.0
163384622.6338113,18.990482307281308,0.0
166719002.68756253,17.700811788428677,0.0
170053382.7413138,20.318463446936924,0.0
173387762.79506505,20.272501718041433,0.0
176722142.84881628,22.273011724979163,0.0
180056522.90256754,20.866842189293376,0.0
183390902.9563188,20.272506938081275,0.0
186725283.01007003,20.272503455287584,0.0
190059663.0638213,20.2724863508163,0.0
193394043.11757255,21.20271936423558,0.0
196728423.1713238,20.700811629856886,0.0
200062803.22507504,20.272513915355276,0.0
203397183.2788263,20.647818270844944,0.0
206731563.33257756,20.719742781119276,0.0
210065943.3863288,16.428576178574282,0.0
213400323.44008005,20.39074871482263,0.0
216734703.4938313,21.33725450079688,0.0
220069083.54758254,19.06374435040804,0.0
223403463.6013338,20.156034238954046,0.0
226737843.65508506,20.830782469786488,0.0
230072223.7088363,18.44328803333882,0.0
233406603.76258755,21.520392823967974,0.0
236740983.8163388,19.57288708879743,0.0
240075363.87009007,21.30001521352424,0.0
243409743.9238413,20.546203994610103,0.0
246744123.97759256,20.272486346738514,0.0
250078504.03134382,19.884156475049345,0.0
253412884.08509505,20.6622649487695,0.0
256747264.1388463,20.689972559124318,0.0
260081644.19259757,21.205462729680036,0.0
263416024.2463488,21.24852544890442,0.0
266750404.30010006,20.46626025169055,0.0
270084784.3538513,20.2857347851945,0.0
273419164.40760255,20.323491811735288,0.0
276753544.46135384,18.39292310771168,0.0
280087924.51510507,20.511704800956938,0.0
283422304.5688563,19.204345110228275,0.0
286756684.6226076,20.587427245484125,0.0
290091064.6763588,20.662256360046385,0.0
293425444.73011005,20.917985639722556,0.0
296759824.78386134,20.390978184693225,0.0
300094204.83761257,20.617269416111384,0.0
303428584.8913638,19.999979497149642,0.0
306762964.9451151,21.958574137268776,0.0
310097344.9988663,20.768002611822116,0.0
313431725.05261755,20.652903192222606,0.0
316766105.10636884,18.54673157369575,0.0
320100485.16012007,21.8296665966284,0.0
323434865.2138713,21.92450435476849,0.0
326769245.2676226,20.947566807100113,0.0
330103625.3213738,20.283369012430377,0.0
333438005.37512505,20.6322281144026,0.0
336772385.42887634,19.093053208271854,0.0
340106765.4826276,18.823960560366118,0.0
343441145.5363788,19.766774784540374,0.0
346775525.5901301,21.194551039135533,0.0
350109905.6438813,18.06502558628557,0.0
353444285.69763255,21.15513208925847,0.0
356778665.75138384,20.662245958039346,0.0
360113045.8051351,21.33161746931336,0.0
363447425.8588863,21.807385430730417,0.0
366781805.9126376,20.27248310366167,0.0
370116185.9663888,20.564706057668037,0.0
373450566.02014005,20.734644118172913,0.0
376784946.07389134,20.906839474560897,0.0
380119326.1276426,19.912536521676245,0.0
383453706.18139386,20.527034741975,0.0
386788086.2351451,18.510638487197266,0.0
390122466.2888963,18.096964846205363,0.0
393456846.3426476,22.015089051085226,0.0
396791226.39639884,21.919526834603378,0.0
400125606.4501501,21.915816131525695,0.0
403459986.50390136,22.114895178443668,0.0
